id,Country,ne_50m_admin_0_countries_lakes_adm0_a3,var1_usersper100,var2_avgconnection,var3_politicalrights,var4_civilib,var5_politcalfiltr
38,Republic of Congo,COG,3,2040,6,5,no data
39,Democratic Republic of the Congo,COD,7.11,1042,6,6,no data
40,Costa Rica,CRI,49.41,3382,1,1,no data
41,Ivory Coast,CIV,14.6,2135,4,4,no data
42,Croatia,HRV,68.57,6411,1,2,0
43,Cuba,CUB,30,1603,7,6,no data
44,Cyprus,CYP,69.33,6652,1,1,no data
45,Czech Republic,CZE,79.71,15868,1,1,no data
46,Denmark,DNK,95.99,16089,1,1,0
47,Djibouti,DJI,10.71,1761,6,5,no data
48,Dominica,DMA,62.86,11904,1,1,no data
49,Dominican Republic,DOM,49.58,2802,3,3,no data
50,East Timor,TLS,no data,no data,3,3,no data
51,Ecuador,ECU,43,4361,3,3,no data
52,Egypt,EGY,31.7,1699,6,5,0
53,El Salvador,SLV,29.7,3386,2,3,no data
54,Equatorial Guinea,GNQ,18.86,4277,7,7,no data
55,Eritrea,ERI,0.99,1060,7,7,no data
56,Estonia,EST,84.24,10971,1,1,no data
57,Ethiopia,ETH,2.9,2181,7,6,4
